Complete?,Title of Policy,Date Entered,Entered By,QC Checked By,QC Check Date,Description,Policy Type,Legal Status,Primary Lever,Primary Policy Category (Broad),Secondary Lever,Secondary Category (If Necessary),Primary Subcategory,Secondary Subcategory (if necessary),Methodology,Second Methodology (if necessary),Participation,Jurisdiction,Location,Country,lat,lon,Implementing Agency,Status,Date Enacted,low,Covered Sector(s),Covered Material(s),Covered Life-Cycle Stages,Application Type,Scale of Approach,Covered Applications,Covered Impacts,Target,Target Date,Additional Targets,Compliance Mechanism,Threshold Varies?,Compliance Threshold Quantity/Range,Compliance Threshold Unit,Threshold Methodology ,Disclosure Type,Required Disclosure Standard,Required PCR,Disclosure Specificity,Disclosure Material Quantities,Disclosure Data Repository,Link(s),Archived Version,Source(s),Notes,Other
TRUE,Honolulu Concrete Mineralization Resolution,11/26/23,"Irish, Hannah","Hayes, Jackson",3/5/2024,The resolution requests the Honolulu city administration to consider using carbon dioxide mineralization concrete for all future city infrastructure projects utilizing concrete.,Plan,Non-Statutory,Plan,Climate Commitment,Resolution,,Resolution/Declaration of Intent,,NA,,NA,City,"Honolulu, HI, USA",United States,21.301487,-157.784653,"City Council of Honolulu, Hawaii",NA,2018,NA,3273,Concrete,NA,NA,Product Level,Civil Construction Projects,GHG Emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www4.honolulu.gov/docushare/dsweb/Get/Document-212511/RES18-283.pdf,https://ucsb.box.com/s/1zlyfvw5r4rnau60tbm8p83oyyntn6dt,,,
FALSE,Portland Design Overlay Zoning Amendments,11/27/23,"Irish, Hannah","Hayes, Jackson",4/22/2024,The Portland Design Overlay Amendment has updated the tools and processes for Portland's overlay and design review program. It includes points for low-carbon concrete and for using wood products for sustainabily managed forests,Voluntary Program,Non-Statutory,Market-Based,Building Codes/Planning,Non-Monetary Advantage,,Zoning Incentives,,Green Building Design,,Voluntary,City,"Portland, OR, USA",United States,45.52179,-122.633115,City of Portland,Active,2021,2021,"3219, 3273","Timber, Concrete",NA,Buildings,Project Level,Buildings meeting criteria in program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.portland.gov/bps/planning/doza,https://ucsb.box.com/s/9c69c5nl6q9zd0cw79rle0rrtad5ibzu,,,
FALSE,Toronto Green Standard v4,11/16/2023,"Irish, Hannah","Hayes, Jackson",4/22/2024,"TGS sets requirements for high-performance, new development in Toronto. V4 introduces voluntary tracking requirements for building construction and lanscaping materials, in addition to low level mandatory requirements through planning approval. Future versions are planned for 2025 and 2027 to require low emissions buildings by requiring compliance with highest tier, currently voluntary performance standards",Law ,Statutory,Regulatory ,Building Codes/Planning,Building Standard,,Building Code Requirements,,Reporting/Analysis Requirement,Whole-Building Carbon Reduction,Both Mandatory and Voluntary Aspects,City,"Toronto, Ontario, Canada",Canada,43.698884,-79.382178,City of Toronto,Active,2022,2022,NA,NA,NA,"All new construction, city-wide",Project Level,All new projects,GHG Emissions,Net Zero Emissions,2040,"2025 and 2028 new, stricter versions of Toronto Green Standard",Project Application and Approval,NA,NA,20% reduction from baseline,NA,NA,NA,NA,NA,NA,NA,https://www.toronto.ca/city-government/planning-development/official-plan-guidelines/toronto-green-standard/toronto-green-standard-version-4/,https://ucsb.box.com/s/vw9wttbmbehm4wmm5z983srd9a9n40pi,,,
TRUE,Berkeley Green Building Requirements,11/12/2023,"Hayes, Jackson","Irish, Hannah",11/16/23,"Berkeley Green Building Requirements require a 25% reduction of cement in concrete mixes and recognize fly ash, slag, silica fume, and rice hull ash as cement replacements; Also requires 100% of concrete and asphalt to be reused or recycled",Law ,Statutory,Regulatory ,Building Codes/Planning,Building Standard,,Building Code Requirements,,Reporting/Analysis Requirement,,Mandatory,City,"Berkeley, CA, USA",United States,37.866692,-122.274315,City of Berkeley,Active,2022,2023,3273,Concrete,"A1,A2,A3,C,D",Public and private new construction,Project-level,Buildings,"GHG Emissions, End-of-Life Imacts",25% reduction of cement in concrete mixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Product,NA,NA,https://berkeley.municipal.codes/BMC/19.37,https://ucsb.box.com/s/mys4eisgaqi1sibcyd82hiyq624wotul,,,
TRUE,Vancouver Zoning Variances for Mass Timber ,11/27/23,"Irish, Hannah","Hayes, Jackson",3/5/2024,The amendment of Zoning and Development By-Laws in the City of Vancouver allows mass timber construction 7 storeys and higher,Law ,Statutory,Regulatory ,Building Codes/Planning,Building Standard,,Zoning Incentives,,Green Building Design,,Both Mandatory and Voluntary Aspects,City,"Vancouver, British Columbia, Canada",Canada,49.252851,-123.116312,City of Vancouver,Active,2019,2021,3219,Mass Timber,NA,Buildings,Project Level,Mass Timber-qualified buildings seven stories or higher,NA,NA,NA,NA,NA,NA,NA,NA,NA,Permit Application,NA,NA,NA,NA,NA,https://bylaws.vancouver.ca/bulletin/bulletin-mass-timber.pdf,https://ucsb.box.com/s/675p9skxwymeqxi3grwvrdlvne6bfr77,,,
FALSE,Langford Low-Carbon Concrete Policy,12/3/2023,"Hayes, Jackson",,,"The Langford Low-Carbon Concrete Policy requires that all concrete supplied to City-owned or solicited projects, and private construction projects greater than 50 cubic meters, must be produced using post-industrial carbon dioxide (CO2) mineralization technologies, or an equivalent which offers concrete with lower embodied CO2.",Law ,Statutory,Regulatory,Clean Procurement,Building Standard,,Owner Procurement Guidelines,,Product/Material-Specific Carbon Limits or Reductions,,Mandatory,City,"Langford, British Columbia, Canada",Canada,55.340666,-124.209903,City of Langford,Active,2021,2022,3273,Concrete,"A1, A2, A3",Buildings,Product Level,"All Public Buildings, Private Buildings over 50 cubic meters",GHG Emissions,NA,NA,NA,EPD Type III,NA,NA,NA,NA,EPD,ISO 14025,NA,Product,NA,NA,https://langford.ca/city-of-langford-announces-bold-low-carbon-concrete-policy/,,,,
FALSE,Township of Douro-Dummer Sustainable Development Program,11/26/23,"Irish, Hannah","Hayes, Jackson",4/22/2024,"Approved single family, detached dwelling homes will receive a rebate for 40 to 80% reduction in project permitting fees sould they reach a carbon compliance threshold or reach carbon neutrality, respectively",Voluntary Program,Non-Statutory,Financial,Building Codes/Planning,Rebate,,Building Design Incentives,,Whole-Building Carbon Reduction,,Voluntary,City,"Township of Douro-Dummer, Ontario, Canada",Canada,44.451964,-78.116992,Township of Duoro-Dummer,Active,2020,2020,NA,NA,NA,Single family detached dwellings,Project Level,Buildings,GHG Emissions,29% reduction in community sector GHG emissions,2031,NA,"Report Submission, Application Approval",NA,NA,kgCO2e/m^2,Carbon Calculator with floor area,Report,NA,NA,Building,NA,NA,"https://www.dourodummer.ca/en/building-and-renovating/resources/Sustainable-Development-Guidelines-2020.pdf
https://www.dourodummer.ca/en/building-and-renovating/sustainable-development-program.aspx",https://ucsb.box.com/s/rmek898tdp0he70zqowjw2pilj7vlybq,,,
TRUE,Marin County Low Carbon Concrete Code,11/12/2023,"Hayes, Jackson","Irish, Hannah",11/21/2023,"The purpose of this chapter is to provide practical standards and requirements for the composition of concrete, as defined herein, that maintains adequate strength and durability for the intended application and at the same time reduces greenhouse gas emissions associated with concrete composition. This code includes pathways for compliance with either reduced cement levels or lower-emission supplementary cementitious materials.",Law ,Statutory,Regulatory ,Clean Procurement,Building Standard,,Buy Clean,,Product/Material-Specific Carbon Limits or Reductions,,Mandatory,U.S. County,"Marin County, CA, USA",United States,38.036772,-122.703416,County of Marin,Active,2019,2022,3273,Concrete,"A1,A2,A3",Public and private new construction,Project Level,Buildings,GHG Emissions,NA,NA,NA,EPD,"Yes, See Supporting Documents",260-675,kgCO2e/m^3,NA,EPD,"ISO 14025, ISO 21930","PCR for Concrete, NSF",Product,NA,NA,https://library.municode.com/ca/marin_county/codes/municipal_code?nodeId=TIT19MACOBUCO_CH19.07CACORE_19.07.020DE,https://ucsb.box.com/s/572hoivx3xwth96v5n4moj1otkig5xrw,,,
FALSE,King County Strategic Climate Action Plan,12/10/2023,"Hayes, Jackson",,,King County's Strategic Climate Action Plan's strategies related to embodied carbon are: - Strategy 4.2.2: Partner with King County cities on C&D recovery and reuse. - Strategy 5.2.2: Support the transition to a reusable wood market. - Strategy GHG 3.3.1: Propose Strong Green Building Codes in Unincorporated King County. - Strategy GHG 4.2.1: Code development through the Regional Code Collaboration (RCC). - Strategy GHG 4.3.1: Propose strong green building codes in unincorporated King County. - Strategy GHG 4.14: Manage King County capital portfolios to maximize GHG emissions reductions in operational and embodied emissions. - Strategy GHG 5.8.1: Specifying low-embodied carbon building materials in King County capital projects.,Plan,Non-Statutory,Plan,Climate Commitment,Climate Action Plan,,Climate Action Plan,,Plan,,Mandatory,U.S. County,"King County, WA, USA",United States,47.455683,-121.877229,King County Climate Action Committee,Active,2020,2021,32121,Wood,NA,Buildings,Product-level,"Public Buildings, Private Buildings",GHG Emissions,Net-Zero Public Buildings,NA,Adjust Building Code to allow for more low-embodied carbon materials,Municipal Building Codes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://your.kingcounty.gov/dnrp/climate/documents/scap-2020-approved/2020-scap-reducing-ghg-emissions-section.pdf,https://app.box.com/file/1385082158182,,,
FALSE,Denmark Building Code LCA Requirement,11/30/23,"Irish, Hannah","Hayes, Jackson",3/6/2024,"National life-cycle carbon limits on new buildings. Mandatory. 2023. When applying for a building permit and when completing a building, an initial LCA (applying for permit) and final LCA (when completing a building) assessing the building's overall climate impact must be documented and complied. There are stricter voluntary targets",Law ,Statutory,Regulatory ,Building Codes/Planning,Building Standard,,Building Code Requirements,,Whole-Building Carbon Reduction,Reporting/Analysis Requirement,Both Mandatory and Voluntary Aspects,National,Denmark,Denmark,56.077104,9.257344,"Danish Transport, Construction, and Housing Authority",Active,2020,2023,NA,NA,NA,Buildings,Project Level,"All new buildings (LCA for under 1000m^2, thresholds for above)",GHG Emissions,Maximum GWP target of 7 kgCO2/m^2 ,2029,"10.5kgCO2/m^2 2027, 9 kgCO2/m^2 by 2027, for all building sizes ",Life Cycle Asessment,No,12,kgCO2/m^2,NA,LCA,NA,NA,Project,NA,NA,"https://nordicsustainableconstruction.com/news/2023/january/denmark-introduces-co2-limit-for-new-constructions#:~:text=The%20new%20Danish%20requirements%20entail,per%20square%20meters%20per%20year. https://greensurvey.dk/onewebmedia/New%20building%20regulations.pdf",https://ucsb.box.com/s/hjo9keboktwgkqm1mybdodpszlys5uf4 https://ucsb.box.com/s/1w9vja1rfvz09zdm3ruvaafrv7p182ie,,,
FALSE,Singapore's Green Building Masterplan,12/11/2023,"Hayes, Jackson",,,"Singapore's Green Building Masterplan was updated in 2021 including the Building and Construction Authority's Green Mark certification scheme that includes language on raising energy performance standards and placing greater emphasis on other important sustainability outcomes such as designing for maintainability, reducing embodied carbon across a building's life cycle, and creating healthier environments for building users. The Green Mark 2021 scheme is aligned with the United Nations' Sustainability Development Goals.",Law ,Statutory,Regulatory,Climate Commitment,Building Standard,,Building Code Requirements,Building Code Requirements,Green Building Design,,Mandatory,National,Singapore,Singapore,1.350283,103.821772,Singapore Building and Construction Authority,Active,2021,2022,"3273, 32721, 3312","Concrete, Glass, Steel ","A1, A2, A3, A4, A5",Buildings,Product,Buildings,GHG Emissions,80% Buildings in Compliance with Green Mark 2021,2030,,Green Mark 2021,NA,"10% Reduction from baseline, 20% reduction from baseline",kgCO2/m^2,NA,Project," ISO 21930, ISO 14067,  ISO 14025, ISO 14040, ISO 14044",NA,Project,NA,NA,"https://www1.bca.gov.sg/buildsg/sustainability/green-building-masterplans#:~:text=The%20SGBMP%20aims%20to%20deliver,80%2D80%20in%202030%E2%80%9D.&text=The%20earlier%20editions%20of%20the,Singapore's%20buildings%20have%20been%20greened",https://app.box.com/file/1389298311751,,,
TRUE,GSA Buy Clean Task Force,11/9/2023,"Irish, Hannah","Hayes, Jackson",12/1/23,Procurement policy requiring  materials to meet or be below maximum GWP threshold to be eligible to be included in all GSA-funded projects,Executive Order ,Statutory,Market-Based,Clean Procurement,Procurement Policy,,Buy Clean,,Product/Material-Specific Carbon Limits or Reductions,,Mandatory,National,USA,United States,40.943725,-101.352272,US General Services Association,Active,2022,2022,3273,"Concrete/cement, Asphalt, Flat Glass, Steel","A1, A2, A3",Public Projects,Product-level,All federal construction projects,GHG Emissions,20% reduction from GWP (CO2e) limits,NA,NA,EPD Type III,"Yes, See Supporting Documents","242-524 (concrete), top 20%, top 40%, better than average",CO2e kg/m^3,"""20% reduction from GWP (CO2e) limits in proposed code language: ""Lifecycle GHG Impacts in Building Codes"" by the New Buildings Institute, January 2022",EPD,ISO 14025:2006,"PCR for Concrete, NSF",Product,NA,Email to embodiedcarbon@gsa.gov; GSA Project Management Information System,https://www.gsa.gov/system/files/Low%20embodied%20carbon%20concrete%20SOW%20language-Sept%202022.pdf; https://www.gsa.gov/real-estate/gsa-properties/inflation-reduction-act/lec-program-details/lec-pilot-fact-sheet,https://ucsb.box.com/s/x0uyxnp9jenpbvhol12875g01lo4owun,,,
FALSE,Canada Green Procurement Policy Standard on Embodied Carbon in Construction,12/7/2023,"Irish, Hannah","Hayes, Jackson",5/9/24,Inclusion in new construction products of projects over $10million and 100m3 must include EPDs of concrete mixes used so that the total kgCO2/m3 in the project is at least 10% below the industry baseline,Law ,Statutory,Market-Based,Clean Procurement,Procurement Policy,,Buy Clean,,Product/Material-Specific Carbon Limits or Reductions,,Mandatory,National,Canada,Canada,58.609842,-106.722656,Government of Canada,Active,2018,2022,3273,Concrete,"A1, A2, A3",Buildings,Project Level,"New construction or renovation above material quantity threshold; $10 million solicitations 2022, $5 million solicitations after 2024",GHG emissions,NA,NA,NA,Reporting of total project-level CO2 emissions,No,At least 10% less than GHG baseline,kgCO2/m^3,Regional Industry Average Environmental Product Declaration,EPD Type III,ISO 14025,NSF International Product Category Rule (PCR) for Concrete ,Product,100 m3 (sum of all mixes used),NA,https://www.tbs-sct.canada.ca/pol/doc-eng.aspx?id=32742,https://ucsb.box.com/s/1crsolp2tzwjm15do05mo43zq5pctxh8,,,
FALSE,Draft Green Public Procurement Strategy and Action Plan 2023-2027,12/11/2023,"Irish, Hannah","Hayes, Jackson",5/9/24,"An update to the current Green Tender plan, this GPP strategy action plan will require the Irish government to publish GPP rules for public works projects, including the following of design guidelines for different materials used in the production of public and commercial buildings",Plan,Non-Statutory,Plan,Climate Commitment,Climate Action Plan,,Climate Action Plan,,Plan,,NA,National,Ireland,Ireland,53.120961,-7.923066,"Ireland Department of the Environment, Climate and Communications",Proposed,2023,NA,"321, 3273","Wood, Concrete",NA,Buildings,Product,Public and Commercial buildings,GWP,30% reduction in embodied carbon in construction materials,2030,Support the deliver of emissions savings of 375 KtCO2 in public (and commercial) buildings and by 735 KtCo2 by 2030,EPD,NA,NA,NA,NA,EPD,EN 15804,NA,Product,NA,EPD Ireland,https://assets.gov.ie/271900/967d9357-f76f-40be-a939-aaae7518f067.pdf,https://ucsb.box.com/s/n493qnx1t6u13lxs7jlxhkbabza253o2,,,
FALSE,CleanBC,12/14/2023,"Hayes, Jackson",,,"CleanBC has a Roadmap to 2030, which among many goals, aims to reduce embodied carbon by using more low-carbon building materials, such as mass timber, wood-based insulation, carbon-absorbing concrete, and concrete made with lignin fibres from trees and other plants. To accomplish this, the government will develop a Low Carbon Building Materials Strategy by 2030 that includes a holistic approach to decarbonizing buildings, initially emphasizing public sector buildings, by 2030.",Plan,Non-Statutory,Plan,Climate Commitment,Climate Action Plan,,Climate Action Plan,,Plan,,NA,National,"British Columbia, Canada",Canada,55.340666,-124.209903,British Columbia,Active,2018,2021,3219,Wood,NA,Buildings,Product,Buildings,GHG Emissions,Develop Low Carbon Building Strategy,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www2.gov.bc.ca/assets/gov/environment/climate-change/action/cleanbc/cleanbc_roadmap_2030.pdf,https://app.box.com/file/1389303950239,,,
