Complete?,Title of Policy,Date Entered,Entered By,QC Checked By,QC Check Date,Description,Legal Status,Policy Category,Building Codes,Clean Procurement,Climate Commitment,Training & Education,Policy Subcategory,Buy Clean,Owner Procurement Guidelines,Public Sector Incentives,Building Code Requirements,Zoning Incentives,Building Design Incentives,Climate Action Plan,Resolution/Declaration of Intent,Research Funding,Education,Methodology,Participation,Jurisdiction,Location,Country,lat,lon,Implementing Agency,Status,Date Enacted,Date In Effect,Covered Sector(s),Covered Material(s),Concrete,Steel/Rebar,Aluminum,Cement,Brick,Iron,Asphalt,Wood/Timber,Insulation,Glass,Covered Life-Cycle Stages,Application Type,Scale of Approach,Covered Applications,Covered Impacts,Target,Target Date,Additional Targets,Compliance Mechanism,Threshold Varies?,Compliance Threshold Quantity/Range,Compliance Threshold Unit,Threshold Methodology ,Threshold Change Cadence,Disclosure Type,Required Disclosure Standard,Required PCR,Disclosure Specificity,Disclosure Material Quantities,Disclosure Data Repository,Link(s),Archived Version,Source(s),Notes,Other
TRUE,Honolulu Concrete Mineralization Resolution,11/26/2023,"Irish, Hannah","Hayes, Jackson",3/5/2024,The resolution requests the Honolulu city administration to consider using carbon dioxide mineralization concrete for all future city infrastructure projects utilizing concrete.,Non-Statutory,Climate Commitment,0,0,1,0,Resolution/Declaration of Intent,0,0,0,0,0,0,0,1,0,0,NA,NA,City,"Honolulu, HI, USA",United States,21.30149,-157.785,"City Council of Honolulu, Hawaii",NA,2018,NA,3273,Concrete,1,0,0,0,0,0,0,0,0,0,NA,All Construction projects,Product Level,Civil Construction Projects,GHG Emissions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www4.honolulu.gov/docushare/dsweb/Get/Document-212511/RES18-283.pdf,https://ucsb.box.com/s/1zlyfvw5r4rnau60tbm8p83oyyntn6dt,Honolulu City Council. (2018). Resolution 18-283: Confirming the appointment of a director of the department of human resources. City and County of Honolulu. https://www4.honolulu.gov/docushare/dsweb/Get/Document-212511/RES18-283.pdf,,
TRUE,Portland Design Overlay Zoning Amendments,11/27/2023,"Irish, Hannah","Hayes, Jackson",4/22/2024,The Portland Design Overlay Amendment has updated the tools and processes for Portland's overlay and design review program. It includes points for low-carbon concrete and for using wood products for sustainabily managed forests,Statutory,Building Codes/Planning,1,0,0,0,Zoning Incentives,0,0,0,0,1,0,0,0,0,0,Green Building Design,Voluntary,City,"Portland, OR, USA",United States,45.52179,-122.633,City of Portland,Active,2021,2021,"3219, 3273","Timber, Concrete",1,0,0,0,0,0,0,1,0,0,NA,Buildings,Project Level,Buildings meeting criteria in program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.portland.gov/bps/planning/doza,https://ucsb.box.com/s/9c69c5nl6q9zd0cw79rle0rrtad5ibzu,Portland Bureau of Planning and Sustainability. (n.d.). Documents and resources: Council-approved ordinance documents and exhibits. City of Portland. https://www.portland.gov/ppd/planning/doza/documents-and-resources#toc-council-approved-ordinance-documents-and-exhibits,,
TRUE,Toronto Green Standard v4,11/16/2023,"Irish, Hannah","Hayes, Jackson",4/22/2024,"TGS sets requirements for high-performance, new development in Toronto. V4 introduces voluntary tracking requirements for building construction and lanscaping materials, in addition to low level mandatory requirements through planning approval. Future versions are planned for 2025 and 2027 to require low emissions buildings by requiring compliance with highest tier, currently voluntary performance standards",Statutory,Building Codes/Planning,1,0,0,0,Building Code Requirements,0,0,0,1,0,0,0,0,0,0,"Reporting/Analysis Requirement, Whole-Building Carbon Reduction",Both Mandatory and Voluntary Aspects,City,"Toronto, Ontario, Canada",Canada,43.69888,-79.3822,City of Toronto,Active,2022,2022,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,All Construction,Project Level,All new projects,GHG Emissions,Net Zero Emissions,2040,"2025 and 2028 new, stricter versions of Toronto Green Standard",Project Application and Approval,NA,NA,20% reduction from baseline,NA,NA,NA,NA,NA,NA,NA,NA,https://www.toronto.ca/city-government/planning-development/official-plan-guidelines/toronto-green-standard/toronto-green-standard-version-4/,https://ucsb.box.com/s/vw9wttbmbehm4wmm5z983srd9a9n40pi,"City of Toronto. (2022). Toronto Green Standard, version 4. City of Toronto. https://www.toronto.ca/city-government/planning-development/official-plan-guidelines/toronto-green-standard/toronto-green-standard-version-4/",,
TRUE,Berkeley Green Building Requirements,11/12/2023,"Hayes, Jackson","Irish, Hannah",3/4/2025,"Berkeley Green Building Requirements require a 25% reduction of cement in concrete mixes and recognize fly ash, slag, silica fume, and rice hull ash as cement replacements; Also requires 100% of concrete and asphalt to be reused or recycled",Statutory,Building Codes/Planning,1,0,0,0,Building Code Requirements,0,0,0,1,0,0,0,0,0,0,Reporting/Analysis Requirement,Mandatory,City,"Berkeley, CA, USA",United States,37.86669,-122.274,City of Berkeley,Active,2022,2023,3273,Concrete,1,0,0,0,0,0,0,0,0,0,NA,Buildings,Project-level,Public and private new construction,"GHG Emissions, End-of-Life Imacts",25% reduction of cement in concrete mixes,NA,NA,NA,NA,NA,NA,25% reduction of cement in concrete mix,NA,NA,NA,NA,Product,NA,NA,https://berkeley.municipal.codes/BMC/19.37,https://ucsb.box.com/s/mys4eisgaqi1sibcyd82hiyq624wotul,"City of Berkeley. (n.d.). Berkeley Municipal Code, Section 19.37.040. City of Berkeley. https://berkeley.municipal.codes/BMC/19.37.040",,
TRUE,Vancouver Zoning Variances for Mass Timber ,11/27/2023,"Irish, Hannah","Hayes, Jackson",3/5/2024,The amendment of Zoning and Development By-Laws in the City of Vancouver allows mass timber construction 7 storeys and higher,Statutory,Building Codes/Planning,1,0,0,0,Zoning Incentives,0,0,0,0,1,0,0,0,0,0,Green Building Design,Both Mandatory and Voluntary Aspects,City,"Vancouver, British Columbia, Canada",Canada,49.25285,-123.116,City of Vancouver,Active,2019,2021,3219,TImber,0,0,0,0,0,0,0,1,0,0,NA,Buildings,Project Level,Mass Timber-qualified buildings seven stories or higher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Permit Application,NA,NA,NA,NA,NA,https://bylaws.vancouver.ca/bulletin/bulletin-mass-timber.pdf,https://ucsb.box.com/s/675p9skxwymeqxi3grwvrdlvne6bfr77,City of Vancouver. (n.d.). Zoning and land use document library amendments. City of Vancouver. https://vancouver.ca/home-property-development/zoning-land-use-document-library-amendments.aspx#bylaw,,
TRUE,Langford Low-Carbon Concrete Policy,12/3/2023,"Hayes, Jackson","Irish, Hannah",3/4/2025,"The Langford Low-Carbon Concrete Policy requires that all concrete supplied to City-owned or solicited projects, and private construction projects greater than 50 cubic meters, must be produced using post-industrial carbon dioxide (CO2) mineralization technologies, or an equivalent which offers concrete with lower embodied CO2.",Statutory,Clean Procurement,0,1,0,0,Owner Procurement Guidelines,0,1,0,0,0,0,0,0,0,0,Product/Material-Specific Carbon Limits or Reductions,Mandatory,City,"Langford, British Columbia, Canada",Canada,55.34067,-124.21,City of Langford,Active,2021,2022,3273,Concrete,1,0,0,0,0,0,0,0,0,0,A1-A3,Buildings,Product Level,"All Public Buildings, Private Buildings over 50 cubic meters",GHG Emissions,NA,NA,NA,Type III EPD,NA,NA,NA,NA,NA,EPD,ISO 14025,NA,Product,NA,NA,https://langford.ca/city-of-langford-announces-bold-low-carbon-concrete-policy/,https://ucsb.box.com/s/iizsiadtxte07rhxsr8uaqv60ddz5m8s,City of Langford. (n.d.). City of Langford announces bold low-carbon concrete policy. City of Langford. https://langford.ca/city-of-langford-announces-bold-low-carbon-concrete-policy/,,
TRUE,Township of Douro-Dummer Sustainable Development Program,11/26/2023,"Irish, Hannah","Hayes, Jackson",4/22/2024,"Approved single family, detached dwelling homes will receive a rebate for 40 to 80% reduction in project permitting fees sould they reach a carbon compliance threshold or reach carbon neutrality, respectively",Statutory,Building Codes/Planning,1,0,0,0,Building Design Incentives,0,0,0,0,0,1,0,0,0,0,Whole-Building Carbon Reduction,Voluntary,City,"Township of Douro-Dummer, Ontario, Canada",Canada,44.45196,-78.117,Township of Duoro-Dummer,Active,2020,2020,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,Buildings,Project Level,Single family detached dwellings,GHG Emissions,29% reduction in community sector GHG emissions,2031,NA,"Report Submission, Application Approval","Yes, See Supporting Documents",NA,kgCO2e/m^2,Carbon Calculator with floor area,NA,Report,NA,NA,Building,NA,NA,"https://www.dourodummer.ca/en/building-and-renovating/resources/Sustainable-Development-Guidelines-2020.pdf
https://www.dourodummer.ca/en/building-and-renovating/sustainable-development-program.aspx",https://ucsb.box.com/s/rmek898tdp0he70zqowjw2pilj7vlybq,Township of Douro-Dummer. (2020). Sustainable development guidelines 2020. Township of Douro-Dummer. https://www.dourodummer.ca/en/building-and-renovating/resources/Sustainable-Development-Guidelines-2020.pdf,,
TRUE,Marin County Low Carbon Concrete Code,11/12/2023,"Hayes, Jackson","Irish, Hannah",11/21/2023,"The purpose of this chapter is to provide practical standards and requirements for the composition of concrete, as defined herein, that maintains adequate strength and durability for the intended application and at the same time reduces greenhouse gas emissions associated with concrete composition. This code includes pathways for compliance with either reduced cement levels or lower-emission supplementary cementitious materials.",Statutory,Clean Procurement,0,1,0,0,Buy Clean,1,0,0,0,0,0,0,0,0,0,Product/Material-Specific Carbon Limits or Reductions,Mandatory,U.S. County,"Marin County, CA, USA",United States,38.03677,-122.703,County of Marin,Active,2019,2022,3273,Concrete,1,0,0,0,0,0,0,0,0,0,A1-A3,Buildings,Project Level,Public and private new construction,GHG Emissions,NA,NA,NA,Type III EPD,"Yes, See Supporting Documents",260-675,kgCO2e/m^3,NA,NA,EPD,"ISO 14025, ISO 21930","PCR for Concrete, NSF",Product,NA,NA,https://library.municode.com/ca/marin_county/codes/municipal_code?nodeId=TIT19MACOBUCO_CH19.07CACORE_19.07.020DE,https://ucsb.box.com/s/572hoivx3xwth96v5n4moj1otkig5xrw,"County of Marin. (n.d.). Marin County Municipal Code, Section 19.07.020: Definitions. County of Marin. https://library.municode.com/ca/marin_county/codes/municipal_code?nodeId=TIT19MACOBUCO_CH19.07CACORE_19.07.020DE",,
TRUE,King County Strategic Climate Action Plan,12/10/2023,"Hayes, Jackson","Irish, Hannah",3/4/2025,King County's Strategic Climate Action Plan's strategies related to embodied carbon are: - Strategy 4.2.2: Partner with King County cities on C&D recovery and reuse. - Strategy 5.2.2: Support the transition to a reusable wood market. - Strategy GHG 3.3.1: Propose Strong Green Building Codes in Unincorporated King County. - Strategy GHG 4.2.1: Code development through the Regional Code Collaboration (RCC). - Strategy GHG 4.3.1: Propose strong green building codes in unincorporated King County. - Strategy GHG 4.14: Manage King County capital portfolios to maximize GHG emissions reductions in operational and embodied emissions. - Strategy GHG 5.8.1: Specifying low-embodied carbon building materials in King County capital projects.,Non-Statutory,Climate Commitment,0,0,1,0,Climate Action Plan,0,0,0,0,0,0,1,0,0,0,"Plan, Green Building Design",Voluntary,U.S. County,"King County, WA, USA",United States,47.45568,-121.877,King County Climate Action Committee,Active,2020,2021,32121,Wood,0,0,0,0,0,0,0,1,0,0,NA,Buildings,Product-level,"Public Buildings, Private Buildings",GHG Emissions,Net-Zero Public Buildings,NA,NA,Municipal Building Codes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://your.kingcounty.gov/dnrp/climate/documents/scap-2020-approved/2020-scap-reducing-ghg-emissions-section.pdf,https://app.box.com/file/1385082158182,King County. (2020). 2020 SCAP: Reducing greenhouse gas emissions section. King County. https://your.kingcounty.gov/dnrp/climate/documents/scap-2020-approved/2020-scap-reducing-ghg-emissions-section.pdf,,
TRUE,Denmark Building Code LCA Requirement,11/30/2023,"Irish, Hannah","Hayes, Jackson",3/6/2024,"National life-cycle carbon limits on new buildings. Mandatory. 2023. When applying for a building permit and when completing a building, an initial LCA (applying for permit) and final LCA (when completing a building) assessing the building's overall climate impact must be documented and complied. There are stricter voluntary targets",Statutory,Building Codes/Planning,1,0,0,0,Building Code Requirements,0,0,0,1,0,0,0,0,0,0,"Whole-Building Carbon Reduction, Reporting/Analysis Requirement",Both Mandatory and Voluntary Aspects,National,Denmark,Denmark,56.0771,9.257344,"Danish Transport, Construction, and Housing Authority",Active,2020,2023,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,Buildings,Project Level,"All new buildings (LCA for under 1000m^2, thresholds for above)",GHG Emissions,Maximum GWP target of 7 kgCO2/m^2 ,2029,"10.5kgCO2/m^2 2027, 9 kgCO2/m^2 by 2027, for all building sizes ",Life Cycle Asessment,No,12,kgCO2/m^2,NA,2 years,LCA,NA,NA,Project,NA,NA,"https://nordicsustainableconstruction.com/news/2023/january/denmark-introduces-co2-limit-for-new-constructions#:~:text=The%20new%20Danish%20requirements%20entail,per%20square%20meters%20per%20year. https://greensurvey.dk/onewebmedia/New%20building%20regulations.pdf",https://ucsb.box.com/s/hjo9keboktwgkqm1mybdodpszlys5uf4 https://ucsb.box.com/s/1w9vja1rfvz09zdm3ruvaafrv7p182ie,"Nordic Sustainable Construction. (2023, January). Denmark introduces CO2 limit for new constructions. Nordic Sustainable Construction. https://www.nordicsustainableconstruction.com/news/2023/january/denmark-introduces-co2-limit-for-new-constructions#:~:text=The%20new%20Danish%20requirements%20entail,per%20square%20meters%20per%20year.",,
